name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Aachen,1,Valid,L5,21,Fell,01/01/1880 12:00:00 AM,50.775000,6.083330,"(50.775, 6.08333)"
Aarhus,2,Valid,H6,720,Fell,01/01/1951 12:00:00 AM,56.183330,10.233330,"(56.18333, 10.23333)"
Abee,6,Valid,EH4,107000,Fell,01/01/1952 12:00:00 AM,54.216670,-113.000000,"(54.21667, -113.0)"
Acapulco,10,Valid,Acapulcoite,1914,Fell,01/01/1976 12:00:00 AM,16.883330,-99.900000,"(16.88333, -99.9)"
Achiras,370,Valid,L6,780,Fell,01/01/1902 12:00:00 AM,-33.166670,-64.950000,"(-33.16667, -64.95)"
Adhi Kot,379,Valid,EH4,4239,Fell,01/01/1919 12:00:00 AM,32.100000,71.800000,"(32.1, 71.8)"
Adzhi-Bogdo (stone),390,Valid,LL3-6,910,Fell,01/01/1949 12:00:00 AM,44.833330,95.166670,"(44.83333, 95.16667)"
Agen,392,Valid,H5,30000,Fell,01/01/1814 12:00:00 AM,44.216670,0.616670,"(44.21667, 0.61667)"
Aguada,398,Valid,L6,1620,Fell,01/01/1930 12:00:00 AM,-31.600000,-65.233330,"(-31.6, -65.23333)"
Aguila Blanca,417,Valid,L,1440,Fell,01/01/1920 12:00:00 AM,-30.866670,-64.550000,"(-30.86667, -64.55)"
Aioun el Atrouss,423,Valid,Diogenite-pm,1000,Fell,01/01/1974 12:00:00 AM,16.398060,-9.570280,"(16.39806, -9.57028)"
Aïr,424,Valid,L6,24000,Fell,01/01/1925 12:00:00 AM,19.083330,8.383330,"(19.08333, 8.38333)"
Aire-sur-la-Lys,425,Valid,Unknown,,Fell,01/01/1769 12:00:00 AM,50.666670,2.333330,"(50.66667, 2.33333)"
Akaba,426,Valid,L6,779,Fell,01/01/1949 12:00:00 AM,29.516670,35.050000,"(29.51667, 35.05)"
Akbarpur,427,Valid,H4,1800,Fell,01/01/1838 12:00:00 AM,29.716670,77.950000,"(29.71667, 77.95)"
Akwanga,432,Valid,H,3000,Fell,01/01/1959 12:00:00 AM,8.916670,8.433330,"(8.91667, 8.43333)"
